Date,Open,High,Low,Close,Adj Close,Volume
2020-02-06,53.160000,53.180000,52.369999,52.529999,51.051056,4345900
2020-02-07,52.139999,52.290001,51.950001,51.990002,50.526260,3677300
2020-02-10,51.680000,51.799999,51.490002,51.790001,50.331890,3212100
2020-02-11,52.330002,52.770000,52.169998,52.709999,51.225986,3146200
2020-02-12,53.320000,53.779999,53.160000,53.680000,52.168678,4213000
2020-02-13,51.919998,52.060001,51.580002,51.709999,51.149837,3693900
2020-02-14,51.450001,51.509998,50.860001,51.320000,50.764061,3579800
2020-02-18,50.709999,51.139999,50.639999,51.029999,50.477203,2824800
2020-02-19,50.799999,50.990002,50.630001,50.880001,50.328831,3900500
2020-02-20,50.419998,50.619999,50.009998,50.049999,49.507820,5082200
2020-02-21,49.580002,49.639999,49.180000,49.509998,48.973667,6441400
2020-02-24,47.279999,47.759998,47.139999,47.540001,47.025009,8811600
2020-02-25,47.419998,47.490002,45.959999,46.200001,45.699528,6275900
2020-02-26,46.570000,46.830002,46.259998,46.320000,45.818226,7809400
2020-02-27,45.099998,45.490002,44.060001,44.139999,43.661839,10898400
2020-02-28,43.169998,44.540001,42.279999,44.529999,44.047615,10335000
2020-03-02,44.369999,45.220001,43.750000,45.160000,44.670792,6713400
2020-03-03,45.900002,46.299999,43.860001,44.060001,43.582710,9045800
2020-03-04,45.500000,45.660000,44.910000,45.650002,45.155483,3686400
2020-03-05,44.580002,44.779999,43.740002,44.040001,43.562923,4686900
2020-03-06,43.150002,43.380001,41.759998,41.869999,41.416431,8762100
2020-03-09,36.279999,36.880001,34.180000,34.419998,34.047134,15132500
2020-03-10,37.320000,37.480000,34.549999,36.029999,35.639694,12043200
2020-03-11,34.720001,35.130001,33.340000,33.740002,33.374504,9725400
2020-03-12,31.200001,32.500000,28.020000,28.809999,28.497908,15433500
2020-03-13,30.730000,30.820000,26.500000,28.870001,28.557259,26026600
2020-03-16,25.309999,25.940001,24.000000,24.010000,23.749905,16830400
2020-03-17,24.870001,25.110001,23.250000,23.709999,23.453154,22836400
2020-03-18,22.090000,22.360001,19.190001,19.580000,19.367893,19115100
2020-03-19,21.809999,24.100000,21.030001,22.510000,22.266153,21719700
2020-03-20,24.360001,25.110001,23.170000,23.959999,23.700445,19674200
2020-03-23,25.360001,25.450001,24.379999,25.020000,24.748964,12361600
2020-03-24,28.860001,31.020000,28.320000,30.400000,30.070683,12601400
2020-03-25,32.200001,34.700001,30.620001,33.040001,32.682087,12661000
2020-03-26,32.139999,33.650002,32.009998,33.160000,32.800785,9051000
2020-03-27,31.230000,31.309999,29.700001,29.770000,29.447508,15982800
2020-03-30,31.010000,31.510000,30.280001,31.389999,31.049957,8846900
2020-03-31,33.450001,33.869999,32.020000,32.660000,32.306202,11623000
2020-04-01,34.490002,34.540001,32.799999,33.119999,32.761215,13909300
2020-04-02,36.279999,38.200001,35.169998,36.720001,36.322220,9986500
2020-04-03,35.650002,35.939999,33.910000,34.450001,34.076813,7239200
2020-04-06,34.950001,35.779999,34.459999,35.709999,35.323162,5819400
2020-04-07,36.500000,37.169998,35.520000,35.650002,35.263813,5962000
2020-04-08,36.139999,36.799999,35.599998,36.759998,36.361786,5817300
2020-04-09,37.209999,37.779999,35.660000,36.549999,36.154060,7095500
2020-04-13,37.490002,37.750000,35.959999,36.290001,35.896877,5820100
2020-04-14,36.099998,36.570000,35.340000,35.959999,35.570454,5154700
2020-04-15,33.810001,33.810001,32.500000,33.080002,32.721653,10788700
2020-04-16,32.110001,32.299999,31.330000,31.629999,31.287357,7530200
2020-04-17,33.049999,34.480000,32.900002,34.430000,34.057026,5809200
2020-04-20,33.000000,33.840000,32.369999,32.709999,32.355659,9284100
2020-04-21,31.530001,32.220001,31.129999,31.959999,31.613783,7365000
2020-04-22,33.509998,33.840000,33.009998,33.740002,33.374504,5172200
2020-04-23,33.980000,35.150002,33.930000,34.230000,33.859192,5218500
2020-04-24,34.549999,34.639999,33.340000,33.860001,33.493202,4491900
2020-04-27,33.610001,34.779999,33.200001,34.680000,34.304317,3815000
2020-04-28,34.880001,35.279999,34.360001,34.939999,34.561501,4097100
2020-04-29,35.869999,36.970001,35.779999,36.799999,36.401352,4752300
2020-04-30,32.020000,32.660000,31.000000,31.969999,31.623674,16100500
2020-05-01,30.700001,30.950001,29.680000,29.830000,29.506859,9013300
2020-05-04,30.320000,31.340000,30.100000,31.230000,30.891691,8237000
2020-05-05,32.490002,33.049999,31.350000,31.410000,31.069742,6704900
2020-05-06,31.400000,31.510000,30.330000,30.340000,30.011333,4216500
2020-05-07,31.200001,31.629999,30.730000,30.860001,30.525702,3570700
2020-05-08,31.350000,32.110001,31.320000,32.029999,31.683025,3878500
2020-05-11,31.459999,31.480000,30.900000,31.049999,30.713642,3507700
2020-05-12,31.230000,31.320000,30.610001,30.610001,30.278410,3890900
2020-05-13,30.580000,30.639999,29.309999,29.540001,29.220001,6776800
2020-05-14,28.320000,28.809999,27.600000,28.700001,28.700001,6066100
2020-05-15,28.730000,29.129999,28.430000,28.600000,28.600000,4648800
2020-05-18,30.360001,31.139999,30.330000,30.990000,30.990000,6550800
2020-05-19,31.129999,31.129999,30.200001,30.219999,30.219999,5730000
2020-05-20,31.150000,31.520000,31.010000,31.200001,31.200001,5157200
